candidate,frequency_hz,impedance_magnitude_pa_s_m3,horizontal_6db_half_angle_deg,vertical_6db_half_angle_deg,gmres_iterations,solve_seconds,relative_residual
2,5000.0,834718.5435327789,32.33534984735544,32.36142513123829,80,55.740218667,2.3340130025457377e-10
3,500.0,339694.31974913296,90.0,90.0,51,12.520002125,5.933466407538949e-10
3,518.6125477035284,352095.9910189962,90.0,90.0,51,12.417644875,4.499814519717607e-10
3,537.9179492710892,365619.87790284236,90.0,90.0,51,12.737793417,2.600193402156042e-10
3,557.941996253874,380469.2655896746,90.0,90.0,50,12.707745583,2.4975199522768533e-10
3,578.7114402960283,396805.72566062264,90.0,90.0,50,12.795892542,1.7781923855548854e-10
3,600.2540288742039,414755.1048385855,90.0,90.0,50,12.460108292,1.887420216001208e-10
3,622.5985423675165,434412.30764169194,90.0,90.0,50,12.965582791,1.723779682442049e-10
3,645.7748325074419,455838.8733770482,80.12763672873486,80.13625881941316,49,12.629593208,2.4930434561503265e-10
3,669.8138622590077,479048.86488791346,73.19919902427776,73.20387991939819,49,12.609310875,2.0083174690978024e-10
3,694.7477471865686,503979.37401532487,68.5099130518359,68.5132741494473,49,12.806166875,3.837369860993308e-10
3,720.6097983594266,530443.1274772295,64.78147935101673,64.78411387698894,48,12.238097458,3.492516040161365e-10
3,747.4345668546164,558064.8873421894,61.63191287892629,61.63407541311515,47,12.172184375,6.454870959477057e-10
3,775.2578899163126,586214.7008767716,58.87555257589808,58.87734039550069,47,12.112906625,7.716913248964804e-10
3,804.116938833521,613973.181257909,56.41293073538526,56.41443145128055,49,12.420418083,5.840112913483372e-10
3,834.0502686000294,640192.2350159308,54.17411331148859,54.175360482665866,50,12.96505975,5.107237263997183e-10
3,865.097869422947,663722.0683775565,52.116269502758314,52.117288096808004,51,13.227664542,6.528193760679644e-10
3,897.301220148658,683812.0447556056,50.20740824702634,50.20821638289592,52,13.564359166,5.211957782632391e-10
3,930.7033436775605,700541.7966320823,48.42381424713309,48.42442446080656,52,13.553172333,4.321853529515669e-10
3,965.3488644416246,715009.0196811372,46.74841007795638,46.748830214419456,52,12.6882865,7.458288469103502e-10
3,1001.2840680215583,729079.3175057089,45.171036787669046,45.17127263278051,52,13.483182291,1.085912698295933e-09
3,1038.5569629832269,744788.9357882598,43.686195034062386,43.6862446637754,50,12.917688625,9.367540079229844e-10
