frequency_hz,fem_resistance_pa_s_m3,fem_reactance_pa_s_m3,fem_magnitude_pa_s_m3,webster_resistance_pa_s_m3,webster_reactance_pa_s_m3,webster_magnitude_pa_s_m3,fem_radiated_power_w,webster_radiated_power_w,gmres_iterations,solve_seconds,relative_residual
969.3263179761037,664692.3302814979,825054.5004672867,1059495.5510413302,523668.27581465064,767417.2747144932,929062.827060102,332346.1651407361,261834.13790732657,50,16.095069666,2.149666996912772e-10
997.6311574844393,714470.6600148146,797199.4531251587,1070511.6963793796,573726.0023389551,832230.4596131394,1010825.9314381165,357235.3300073517,286863.0011694762,51,16.52423075,2.4376860181027453e-10
1026.762513228573,754419.2092623517,766025.3512750453,1075147.9814891012,658008.3698536674,898949.9651458678,1114040.418761024,377209.60463112546,329004.18492682127,51,16.557717,2.974584396455443e-10
1056.7445199183237,785715.7659120726,736119.9861174438,1076671.6764010934,788890.4749289228,953138.4679503659,1237263.5614614827,392857.8829560775,394445.2374644704,51,16.680223875,3.3228216938892483e-10
1087.602017009761,811647.1012228914,710522.4279246988,1078709.0142886224,975584.9180367154,962886.173888401,1370735.4654221758,405823.5506139031,487792.45901834895,45,14.904526875,2.9726454339837318e-08
1119.36056928417,836358.7943225721,689978.8849023846,1084235.6268135835,1199758.4367129065,872738.0499709601,1483607.768357564,418179.39716127526,599879.2183564359,53,17.519546667,2.533507963312598e-10
1152.0464880279221,863615.6421483001,672982.7006534303,1094868.8016114102,1374345.4439634695,639914.6175863403,1516019.8274243707,431807.8210741601,687172.7219817587,54,17.655933167,2.513709266978125e-10
1185.6868528308275,895861.0675923253,656255.7943372524,1110512.8184892235,1378856.183748662,333172.6281606426,1418537.4071970729,447930.5337961706,689428.0918743311,56,18.645228833,2.0110025523831578e-10
1220.3095340209904,933505.3610825082,635456.2694168912,1129263.8883409922,1217957.2035828112,109620.17523802444,1222880.3427067082,466752.6805412646,608978.6017914071,57,18.994832291,1.9356536435411847e-10
1255.9432157547897,974382.5791556659,606209.21997842,1147567.43982604,1013781.5895291828,30792.989402449806,1014249.1407266046,487191.2895778061,506890.7947645869,58,19.386578833,1.6521004824267659e-10
